Batch Size,Iterations,Mean (ms),Variance (s²),Std Dev (ms)
250,10,77333.42478270024,3.3338473372647472,1825.8826186983508
500,10,69607.89942160009,2.258334580925145,1502.7756256092075
1000,10,64530.72625189998,1.4114421240329234,1188.0412972758663
